id,iso,iso_type,name,english,flag_link
38,vi,language,"Tiếng Việt",Vietnamese,"https://BahaiPrayers.net/Content/Images/Flags/Tiếng Việt.png"
39,ta,language,"தமிழ்",Tamil,"https://BahaiPrayers.net/Content/Images/Flags/தமிழ்.png"
40,id,language,"Bahasa Indonesia",Indonesian,"https://BahaiPrayers.net/Content/Images/Flags/Bahasa Indonesia.png"
41,bs,language,Bosanski,Bosnian,https://BahaiPrayers.net/Content/Images/Flags/Bosanski.png
42,cnr,language,Montenegrin,Montenegrin,https://BahaiPrayers.net/Content/Images/Flags/Montenegrin.png
43,th,language,"ภาษาไทย",Thai,"https://BahaiPrayers.net/Content/Images/Flags/ภาษาไทย.png"
44,ca,language,"Català",Catalan,"https://BahaiPrayers.net/Content/Images/Flags/Català.png"
45,tpi,collection,"Papua New Guinea","Papua New Guinea","https://BahaiPrayers.net/Content/Images/Flags/Papua New Guinea.png"
46,hz,collection,Namibia,Namibia,https://BahaiPrayers.net/Content/Images/Flags/Namibia.png
47,ga,language,Irish,Irish,https://BahaiPrayers.net/Content/Images/Flags/Irish.png
48,fy,language,Frysk,Frisian,https://BahaiPrayers.net/Content/Images/Flags/Frysk.png
50,fo,language,"Føroyar","Faroe Islands","https://BahaiPrayers.net/Content/Images/Flags/Føroyar.png"
51,srn,language,"Sranan Tongo",Suriname,"https://BahaiPrayers.net/Content/Images/Flags/Sranan Tongo.png"
52,ch,language,Chamorro,"Guam/Marshall Is.",https://BahaiPrayers.net/Content/Images/Flags/Chamorro.png
53,eu,language,Euskara,"Basque (Spain)",https://BahaiPrayers.net/Content/Images/Flags/Euskara.png
54,gil,language,Kiribati,Kiribati,https://BahaiPrayers.net/Content/Images/Flags/Kiribati.png
55,mh,language,Marshallese,"Marshall Is.",https://BahaiPrayers.net/Content/Images/Flags/Marshallese.png
56,haw,language,Hawaiian,Hawaiian,https://BahaiPrayers.net/Content/Images/Flags/Hawaiian.png
57,lg,language,Luganda,"Ugandin Regional",https://BahaiPrayers.net/Content/Images/Flags/Luganda.png
58,da,language,Dansk,Danish,https://BahaiPrayers.net/Content/Images/Flags/Dansk.png
59,mi,language,"Māori","Maori / New Zealand","https://BahaiPrayers.net/Content/Images/Flags/Māori.png"
60,cy,language,Cymraeg,Welsh,https://BahaiPrayers.net/Content/Images/Flags/Cymraeg.png
61,st,language,Sesotho,Lesotho,https://BahaiPrayers.net/Content/Images/Flags/Sesotho.png
62,kl,language,Kalaallisut,"Greenlandic (Inuit)",https://BahaiPrayers.net/Content/Images/Flags/Kalaallisut.png
63,hi,language,"हिंदी",Hindi,"https://BahaiPrayers.net/Content/Images/Flags/हिंदी.png"
64,pap,language,Papiamentu,"Lesser Antilles",https://BahaiPrayers.net/Content/Images/Flags/Papiamentu.png
65,fj,language,Fiji,"Fiji Islands",https://BahaiPrayers.net/Content/Images/Flags/Fiji.png
66,ne,language,"नेपाली",Nepali,"https://BahaiPrayers.net/Content/Images/Flags/नेपाली.png"
67,fi,language,Suomi,Finnish,https://BahaiPrayers.net/Content/Images/Flags/Suomi.png
68,el,language,"ελληνικά",Greek,"https://BahaiPrayers.net/Content/Images/Flags/ελληνικά.png"
69,mt,language,Malti,Maltese,https://BahaiPrayers.net/Content/Images/Flags/Malti.png
70,ht,language,"Kreyol Ayisyen","Haitian Creole","https://BahaiPrayers.net/Content/Images/Flags/Kreyol Ayisyen.png"
71,lt,language,"Lietuvių",Lithuanian,"https://BahaiPrayers.net/Content/Images/Flags/Lietuvių.png"
72,lb,language,"Lëtzebuergesch",Luxembourg,"https://BahaiPrayers.net/Content/Images/Flags/Lëtzebuergesch.png"
75,bn,language,"বাংলা",Bengali,"https://BahaiPrayers.net/Content/Images/Flags/বাংলা.png"
76,ur,language,"اُردُو",Urdu,"https://BahaiPrayers.net/Content/Images/Flags/اُردُو.png"
78,zh-Hant,language,"繁體中文","Chinese Traditional","https://BahaiPrayers.net/Content/Images/Flags/繁體中文.png"
80,ik,collection,"Alaska Native","Alaska Native","https://BahaiPrayers.net/Content/Images/Flags/Alaska Native.png"
81,km,language,"ភាសាខ្មែរ",Khmer/Cambodia,"https://BahaiPrayers.net/Content/Images/Flags/ភាសាខ្មែរ.png"
82,mg,language,Malagasy,Malagasy,https://BahaiPrayers.net/Content/Images/Flags/Malagasy.png
83,co,language,Corsica,Carsica,https://BahaiPrayers.net/Content/Images/Flags/Corsica.png
84,kn,language,"ಕನ್ನಡ",Kannada,"https://BahaiPrayers.net/Content/Images/Flags/ಕನ್ನಡ.png"
85,nai-CA,collection,"Canadian Indigenous","Canadian Indigenous","https://BahaiPrayers.net/Content/Images/Flags/Canadian Indigenous.png"
86,nai-US,collection,"American Indian","American Indian","https://BahaiPrayers.net/Content/Images/Flags/American Indian.png"
87,ml,language,"മലയാളം",Malayalam,"https://BahaiPrayers.net/Content/Images/Flags/മലയാളം.png"
90,am,language,"አማርኛ.",Ethiopian/Amharic,"https://BahaiPrayers.net/Content/Images/Flags/አማርኛ..png"
